Date,Weekday,Time,Home Team,Away Team,Home Team Goals,Away Team Goals,Venue,Referee
2015-09-20,Sun,15:00 ,Bohemians 1905,Viktoria Plzeň,0,1,Stadion Ďolíček,Michal Paták
2015-09-20,Sun,17:00 ,Sparta Prague,Sigma Olomouc,4,0,Generali Arena,Martin Nenadál
2015-09-20,Sun,18:00 ,Slovan Liberec,Příbram,3,0,Stadion u Nisy,Karel Hrubes
2015-09-25,Fri,20:15 ,Jablonec,Mladá Boleslav,1,2,Stadion Střelnice,Petr Ardeleánu
2015-09-26,Sat,15:30 ,Slovácko,Bohemians 1905,1,0,Městský fotbalový stadion Miroslava Vale...,Tomas Kocourek
2015-09-26,Sat,15:30 ,Sigma Olomouc,Fastav Zlín,1,1,Andrův stadion,Radek Příhoda
2015-09-26,Sat,15:30 ,Teplice,Baník Ostrava,1,0,Na Stínadlech,Jiří Houdek
2015-09-26,Sat,15:30 ,Příbram,Vysočina Jihlava,4,1,Energon Aréna,Jan Jilek
2015-09-26,Sat,15:30 ,Dukla Prague,Zbrojovka Brno,1,2,Stadion Juliska,Pavel Orel
2015-09-26,Sat,18:15 ,Viktoria Plzeň,Slovan Liberec,2,1,Doosan Arena,Emanuel Marek
2015-09-27,Sun,15:00 ,Slavia Prague,Sparta Prague,1,0,Sinobo Stadium,Miroslav Zelinka
2015-10-02,Fri,20:15 ,Baník Ostrava,Sigma Olomouc,1,0,Bazaly,Pavel Orel
2015-10-03,Sat,15:00 ,Mladá Boleslav,Příbram,4,0,Adidas Aréna,Radek Příhoda
2015-10-03,Sat,15:00 ,Zbrojovka Brno,Teplice,0,4,Městský fotbalový stadion Srbská,Michal Paták
2015-10-03,Sat,18:15 ,Fastav Zlín,Jablonec,2,2,Stadion Letná,Emanuel Marek
2015-10-04,Sun,14:30 ,Slavia Prague,Dukla Prague,1,1,Sinobo Stadium,Pavel Královec
2015-10-04,Sun,18:00 ,Slovan Liberec,Bohemians 1905,3,1,Stadion u Nisy,Jiri Jech
2015-10-04,Sun,18:00 ,Sparta Prague,Slovácko,4,0,Generali Arena,Tomas Kocourek
2015-10-04,Sun,18:00 ,Vysočina Jihlava,Viktoria Plzeň,2,4,Stadion v Jiráskově ulici,Karel Hrubes
2015-10-16,Fri,20:15 ,Dukla Prague,Mladá Boleslav,1,1,Stadion Juliska,Karel Hrubes
2015-10-17,Sat,14:30 ,Jablonec,Slavia Prague,0,0,Stadion Střelnice,Radek Příhoda
2015-10-17,Sat,17:00 ,Bohemians 1905,Zbrojovka Brno,1,1,Stadion Ďolíček,Zbyněk Proske
2015-10-17,Sat,17:00 ,Teplice,Vysočina Jihlava,0,1,Na Stínadlech,Petr Ardeleánu
2015-10-17,Sat,17:00 ,Sigma Olomouc,Slovan Liberec,1,1,Andrův stadion,Michal Paták
2015-10-17,Sat,17:00 ,Slovácko,Baník Ostrava,2,1,Městský fotbalový stadion Miroslava Vale...,Jiri Jech
2015-10-17,Sat,20:15 ,Viktoria Plzeň,Fastav Zlín,4,2,Doosan Arena,Ondřej Lerch
2015-10-18,Sun,15:00 ,Příbram,Sparta Prague,0,4,Energon Aréna,Pavel Královec
2015-10-23,Fri,20:15 ,Slavia Prague,Sigma Olomouc,0,2,Sinobo Stadium,Pavel Franek
2015-10-24,Sat,17:00 ,Fastav Zlín,Teplice,1,2,Stadion Letná,Zbyněk Proske
2015-10-24,Sat,17:00 ,Baník Ostrava,Příbram,0,2,Bazaly,Michal Paták
2015-10-24,Sat,17:00 ,Mladá Boleslav,Slovácko,4,1,Adidas Aréna,Ondřej Lerch
2015-10-24,Sat,20:15 ,Jablonec,Dukla Prague,3,3,Stadion Střelnice,Jiri Jech
2015-10-25,Sun,16:00 ,Zbrojovka Brno,Viktoria Plzeň,1,0,Městský fotbalový stadion Srbská,Tomas Kocourek
2015-10-25,Sun,17:00 ,Vysočina Jihlava,Slovan Liberec,1,1,Stadion v Jiráskově ulici,Miroslav Zelinka
2015-10-25,Sun,18:00 ,Sparta Prague,Bohemians 1905,3,0,Generali Arena,Karel Hrubes
2015-10-30,Fri,18:00 ,Dukla Prague,Fastav Zlín,1,0,Stadion Juliska,Michal Paták
2015-10-31,Sat,17:00 ,Příbram,Zbrojovka Brno,1,1,Energon Aréna,Ondřej Lerch
2015-10-31,Sat,17:00 ,Sigma Olomouc,Mladá Boleslav,1,2,Andrův stadion,Jiří Houdek
2015-10-31,Sat,17:00 ,Slovácko,Jablonec,1,1,Městský fotbalový stadion Miroslava Vale...,Miroslav Zelinka
2015-10-31,Sat,17:00 ,Bohemians 1905,Vysočina Jihlava,2,1,Stadion Ďolíček,Radek Příhoda
2015-10-31,Sat,20:15 ,Slovan Liberec,Baník Ostrava,2,1,Stadion u Nisy,Karel Hrubes
2015-11-01,Sun,15:00 ,Viktoria Plzeň,Sparta Prague,2,1,Doosan Arena,Radek Příhoda
2015-11-01,Sun,18:30 ,Teplice,Slavia Prague,0,1,Na Stínadlech,Tomas Kocourek
2015-11-06,Fri,20:15 ,Jablonec,Sigma Olomouc,4,0,Stadion Střelnice,Karel Hrubes
2015-11-07,Sat,17:00 ,Dukla Prague,Příbram,0,1,Stadion Juliska,Petr Ardeleánu
2015-11-07,Sat,17:00 ,Fastav Zlín,Slovácko,2,1,Stadion Letná,Radek Příhoda
2015-11-07,Sat,20:15 ,Mladá Boleslav,Vysočina Jihlava,6,1,Adidas Aréna,Pavel Královec
2015-11-08,Sun,15:00 ,Slavia Prague,Bohemians 1905,2,2,Sinobo Stadium,Ondřej Lerch
2015-11-08,Sun,17:00 ,Baník Ostrava,Viktoria Plzeň,0,4,Bazaly,Emanuel Marek
2015-11-08,Sun,18:00 ,Zbrojovka Brno,Slovan Liberec,3,1,Městský fotbalový stadion Srbská,Ondřej Pechanec
2015-11-08,Sun,19:00 ,Sparta Prague,Teplice,3,1,Generali Arena,Miroslav Zelinka
2015-11-20,Fri,18:00 ,Vysočina Jihlava,Zbrojovka Brno,2,0,Stadion v Jiráskově ulici,Karel Hrubes
2015-11-21,Sat,17:00 ,Bohemians 1905,Baník Ostrava,3,1,Stadion Ďolíček,Petr Ardeleánu
2015-11-21,Sat,17:00 ,Příbram,Fastav Zlín,1,2,Energon Aréna,Miroslav Zelinka
2015-11-21,Sat,17:00 ,Slovácko,Slavia Prague,0,2,Městský fotbalový stadion Miroslava Vale...,Pavel Orel
2015-11-21,Sat,17:00 ,Sigma Olomouc,Dukla Prague,0,0,Andrův stadion,Zbyněk Proske
2015-11-21,Sat,20:15 ,Viktoria Plzeň,Mladá Boleslav,1,0,Doosan Arena,Jan Jilek
2015-11-22,Sun,15:00 ,Slovan Liberec,Sparta Prague,1,0,Stadion u Nisy,Michal Paták
2015-11-22,Sun,18:30 ,Teplice,Jablonec,2,2,Na Stínadlech,Pavel Královec
2015-11-27,Fri,18:00 ,Dukla Prague,Teplice,4,0,Stadion Juliska,Jiří Houdek
2015-11-28,Sat,17:00 ,Sigma Olomouc,Slovácko,2,0,Andrův stadion,Tomas Kocourek
2015-11-28,Sat,17:00 ,Baník Ostrava,Vysočina Jihlava,1,2,Bazaly,Paval Julínek
2015-11-28,Sat,17:00 ,Slavia Prague,Příbram,2,1,Sinobo Stadium,Radek Příhoda
2015-11-28,Sat,20:15 ,Mladá Boleslav,Bohemians 1905,1,1,Adidas Aréna,Michal Paták
2015-11-30,Mon,17:15 ,Jablonec,Viktoria Plzeň,0,1,Stadion Střelnice,Miroslav Zelinka
2015-11-30,Mon,18:00 ,Fastav Zlín,Slovan Liberec,2,0,Stadion Letná,Pavel Královec
2015-11-30,Mon,19:15 ,Sparta Prague,Zbrojovka Brno,2,1,Generali Arena,Petr Ardeleánu
2015-12-04,Fri,20:15 ,Slovácko,Teplice,4,2,Městský fotbalový stadion Miroslava Vale...,Petr Ardeleánu
2015-12-05,Sat,15:00 ,Příbram,Sigma Olomouc,3,0,Energon Aréna,Paval Julínek
2015-12-05,Sat,17:30 ,Bohemians 1905,Jablonec,2,1,Stadion Ďolíček,Jiří Houdek
2015-12-06,Sun,13:00 ,Zbrojovka Brno,Mladá Boleslav,1,1,Městský fotbalový stadion Srbská,Ondřej Lerch
2015-12-06,Sun,14:00 ,Slovan Liberec,Slavia Prague,2,1,Stadion u Nisy,Jan Jilek
2015-12-06,Sun,15:00 ,Baník Ostrava,Sparta Prague,0,1,Bazaly,Pavel Orel
2015-12-06,Sun,15:00 ,Vysočina Jihlava,Fastav Zlín,2,2,Stadion v Jiráskově ulici,Ondřej Pechanec
2015-12-06,Sun,18:30 ,Viktoria Plzeň,Dukla Prague,3,0,Doosan Arena,Karel Hrubes
2016-02-12,Fri,18:00 ,Dukla Prague,Slovan Liberec,2,0,Stadion Juliska,Miroslav Zelinka
2016-02-13,Sat,14:00 ,Fastav Zlín,Sparta Prague,1,2,Stadion Letná,Pavel Královec
2016-02-13,Sat,16:00 ,Sigma Olomouc,Bohemians 1905,2,2,Andrův stadion,Radek Příhoda
2016-02-13,Sat,16:00 ,Teplice,Příbram,2,0,Na Stínadlech,Jan Jilek
2016-02-13,Sat,16:00 ,Jablonec,Vysočina Jihlava,2,0,Stadion Střelnice,Ondřej Lerch
2016-02-13,Sat,18:20 ,Slavia Prague,Zbrojovka Brno,2,0,Sinobo Stadium,Tomas Kocourek
2016-02-14,Sun,14:00 ,Mladá Boleslav,Baník Ostrava,3,0,Adidas Aréna,Michal Paták
2016-02-14,Sun,16:00 ,Slovácko,Viktoria Plzeň,1,2,Městský fotbalový stadion Miroslava Vale...,Karel Hrubes
2016-02-19,Fri,18:00 ,Vysočina Jihlava,Slavia Prague,0,0,Stadion v Jiráskově ulici,Michal Paták
2016-02-19,Fri,20:15 ,Viktoria Plzeň,Teplice,1,0,Doosan Arena,Emanuel Marek
2016-02-20,Sat,14:00 ,Bohemians 1905,Dukla Prague,1,0,Stadion Ďolíček,Zbyněk Proske
2016-02-20,Sat,14:00 ,Příbram,Slovácko,0,1,Energon Aréna,Tomas Kocourek
2016-02-20,Sat,14:00 ,Baník Ostrava,Fastav Zlín,3,0,Bazaly,Pavel Orel
2016-02-20,Sat,14:00 ,Zbrojovka Brno,Sigma Olomouc,2,0,Městský fotbalový stadion Srbská,Jiri Jech
2016-02-20,Sat,17:30 ,Slovan Liberec,Jablonec,3,2,Stadion u Nisy,Radek Příhoda
2016-02-21,Sun,15:00 ,Sparta Prague,Mladá Boleslav,2,0,Generali Arena,Jan Jilek
2016-02-27,Sat,15:00 ,Slovácko,Vysočina Jihlava,3,1,Městský fotbalový stadion Miroslava Vale...,Miroslav Zelinka
2016-02-27,Sat,15:00 ,Teplice,Slovan Liberec,0,3,Na Stínadlech,Jiří Houdek
2016-02-27,Sat,15:00 ,Fastav Zlín,Mladá Boleslav,0,2,Stadion Letná,Jiri Jech
2016-02-27,Sat,15:00 ,Příbram,Bohemians 1905,0,0,Energon Aréna,Emanuel Marek
2016-02-27,Sat,15:00 ,Jablonec,Zbrojovka Brno,3,0,Stadion Střelnice,Karel Hrubes
2016-02-27,Sat,18:00 ,Sigma Olomouc,Viktoria Plzeň,0,1,Andrův stadion,Ondřej Lerch
2016-02-28,Sun,17:30 ,Slavia Prague,Baník Ostrava,3,1,Sinobo Stadium,Zbyněk Proske
2016-03-05,Sat,15:00 ,Bohemians 1905,Teplice,1,1,Stadion Ďolíček,Jiri Jech
2016-03-05,Sat,15:00 ,Zbrojovka Brno,Fastav Zlín,2,0,Městský fotbalový stadion Srbská,Michal Paták
2016-03-05,Sat,15:00 ,Vysočina Jihlava,Sigma Olomouc,2,1,Stadion v Jiráskově ulici,Jan Jilek
2016-03-05,Sat,18:00 ,Mladá Boleslav,Slavia Prague,2,1,Adidas Aréna,Petr Ardeleánu
2016-03-06,Sun,15:00 ,Slovan Liberec,Slovácko,0,0,Stadion u Nisy,Pavel Královec
2016-03-06,Sun,15:00 ,Sparta Prague,Jablonec,2,1,Generali Arena,Miroslav Zelinka
2016-03-06,Sun,15:00 ,Baník Ostrava,Dukla Prague,1,2,Bazaly,Jiří Houdek
2016-03-06,Sun,18:15 ,Viktoria Plzeň,Příbram,4,0,Doosan Arena,Pavel Orel
2016-03-11,Fri,17:30 ,Jablonec,Baník Ostrava,1,1,Stadion Střelnice,Pavel Královec
2016-03-11,Fri,20:15 ,Slavia Prague,Fastav Zlín,1,0,Sinobo Stadium,Miroslav Zelinka
2016-03-12,Sat,17:00 ,Příbram,Slovan Liberec,0,1,Energon Aréna,Karel Hrubes
2016-03-12,Sat,17:00 ,Dukla Prague,Vysočina Jihlava,0,1,Stadion Juliska,Martin Nenadál
2016-03-12,Sat,17:00 ,Slovácko,Zbrojovka Brno,2,1,Městský fotbalový stadion Miroslava Vale...,Petr Ardeleánu
2016-03-12,Sat,17:00 ,Teplice,Mladá Boleslav,0,0,Na Stínadlech,Zbyněk Proske
2016-03-12,Sat,20:15 ,Viktoria Plzeň,Bohemians 1905,2,0,Doosan Arena,Tomas Kocourek
2016-03-13,Sun,15:00 ,Sigma Olomouc,Sparta Prague,0,2,Andrův stadion,Michal Paták
2016-03-18,Fri,18:00 ,Vysočina Jihlava,Příbram,1,3,Stadion v Jiráskově ulici,Jiří Houdek
2016-03-19,Sat,15:00 ,Fastav Zlín,Sigma Olomouc,0,0,Stadion Letná,Petr Ardeleánu
2016-03-19,Sat,15:00 ,Bohemians 1905,Slovácko,2,0,Stadion Ďolíček,Jan Jilek
2016-03-19,Sat,15:00 ,Baník Ostrava,Teplice,1,2,Bazaly,Paval Julínek
2016-03-19,Sat,15:00 ,Zbrojovka Brno,Dukla Prague,3,0,Městský fotbalový stadion Srbská,Pavel Královec
2016-03-19,Sat,18:00 ,Mladá Boleslav,Jablonec,1,0,Adidas Aréna,Pavel Orel
2016-03-20,Sun,15:45 ,Slovan Liberec,Viktoria Plzeň,0,1,Stadion u Nisy,Miroslav Zelinka
2016-03-20,Sun,19:30 ,Sparta Prague,Slavia Prague,3,1,Generali Arena,Tomas Kocourek
2016-04-01,Fri,20:15 ,Sigma Olomouc,Baník Ostrava,6,2,Andrův stadion,Pavel Královec
2016-04-02,Sat,17:00 ,Jablonec,Fastav Zlín,3,1,Stadion Střelnice,Karel Hrubes
2016-04-02,Sat,17:00 ,Příbram,Mladá Boleslav,2,3,Energon Aréna,Jan Jilek
2016-04-02,Sat,17:00 ,Teplice,Zbrojovka Brno,0,1,Na Stínadlech,Radek Příhoda
2016-04-02,Sat,17:00 ,Bohemians 1905,Slovan Liberec,0,1,Stadion Ďolíček,Michal Paták
2016-04-02,Sat,17:00 ,Slovácko,Sparta Prague,2,0,Městský fotbalový stadion Miroslava Vale...,Martin Nenadál
2016-04-02,Sat,20:15 ,Viktoria Plzeň,Vysočina Jihlava,2,0,Doosan Arena,Jiri Jech
2016-04-03,Sun,15:00 ,Dukla Prague,Slavia Prague,0,1,Stadion Juliska,Zbyněk Proske
2016-04-08,Fri,20:15 ,Zbrojovka Brno,Bohemians 1905,2,1,Městský fotbalový stadion Srbská,Martin Nenadál
2016-04-09,Sat,17:00 ,Vysočina Jihlava,Teplice,2,1,Stadion v Jiráskově ulici,Pavel Královec
2016-04-09,Sat,17:00 ,Baník Ostrava,Slovácko,2,1,Bazaly,Karel Hrubes
2016-04-09,Sat,17:00 ,Slovan Liberec,Sigma Olomouc,2,1,Stadion u Nisy,Petr Ardeleánu
2016-04-09,Sat,17:00 ,Slavia Prague,Jablonec,0,0,Sinobo Stadium,Jan Jilek
2016-04-09,Sat,18:00 ,Mladá Boleslav,Dukla Prague,2,2,Adidas Aréna,Jiri Jech
2016-04-09,Sat,20:15 ,Fastav Zlín,Viktoria Plzeň,1,2,Stadion Letná,Michal Paták
2016-04-10,Sun,19:30 ,Sparta Prague,Příbram,2,1,Generali Arena,Zbyněk Proske
2016-04-15,Fri,18:00 ,Dukla Prague,Jablonec,6,1,Stadion Juliska,Pavel Franek
2016-04-16,Sat,17:00 ,Příbram,Baník Ostrava,1,2,Energon Aréna,Petr Ardeleánu
2016-04-16,Sat,17:00 ,Sigma Olomouc,Slavia Prague,1,1,Andrův stadion,Ondřej Pechanec
2016-04-16,Sat,17:00 ,Teplice,Fastav Zlín,2,2,Na Stínadlech,Miroslav Zelinka
2016-04-16,Sat,17:00 ,Slovácko,Mladá Boleslav,0,2,Městský fotbalový stadion Miroslava Vale...,Jiří Houdek
2016-04-16,Sat,20:15 ,Slovan Liberec,Vysočina Jihlava,2,0,Stadion u Nisy,Jan Jilek
2016-04-17,Sun,16:45 ,Viktoria Plzeň,Zbrojovka Brno,2,1,Doosan Arena,Karel Hrubes
2016-04-17,Sun,18:45 ,Bohemians 1905,Sparta Prague,2,2,Stadion Ďolíček,Radek Příhoda
2016-04-20,Wed,19:30 ,Dukla Prague,Sparta Prague,1,2,Stadion Juliska,Tomas Kocourek
2016-04-22,Fri,20:15 ,Mladá Boleslav,Sigma Olomouc,4,1,Adidas Aréna,Martin Nenadál
2016-04-23,Sat,17:00 ,Vysočina Jihlava,Bohemians 1905,1,2,Stadion v Jiráskově ulici,Karel Hrubes
2016-04-23,Sat,17:00 ,Jablonec,Slovácko,3,1,Stadion Střelnice,Pavel Královec
2016-04-23,Sat,17:00 ,Baník Ostrava,Slovan Liberec,0,2,Bazaly,Pavel Franek
2016-04-23,Sat,20:15 ,Slavia Prague,Teplice,2,2,Sinobo Stadium,Jiří Houdek
2016-04-24,Sun,17:00 ,Fastav Zlín,Dukla Prague,2,2,Stadion Letná,Jan Jilek
2016-04-24,Sun,17:00 ,Zbrojovka Brno,Příbram,2,0,Městský fotbalový stadion Srbská,Jiri Jech
2016-04-24,Sun,20:00 ,Sparta Prague,Viktoria Plzeň,0,3,Generali Arena,Miroslav Zelinka
2016-04-29,Fri,18:00 ,Vysočina Jihlava,Mladá Boleslav,1,1,Stadion v Jiráskově ulici,Petr Ardeleánu
2016-04-30,Sat,15:00 ,Sigma Olomouc,Jablonec,2,1,Andrův stadion,Michal Paták
2016-04-30,Sat,15:00 ,Slovan Liberec,Zbrojovka Brno,4,2,Stadion u Nisy,Ondřej Berka
2016-04-30,Sat,15:00 ,Slovácko,Fastav Zlín,1,1,Městský fotbalový stadion Miroslava Vale...,Zbyněk Proske
2016-04-30,Sat,15:00 ,Příbram,Dukla Prague,2,2,Energon Aréna,Miroslav Zelinka
2016-04-30,Sat,18:15 ,Viktoria Plzeň,Baník Ostrava,2,0,Doosan Arena,Emanuel Marek
2016-05-01,Sun,17:00 ,Teplice,Sparta Prague,1,1,Na Stínadlech,Jan Jilek
2016-05-01,Sun,19:00 ,Bohemians 1905,Slavia Prague,0,0,Stadion Ďolíček,Jiri Jech
2016-05-06,Fri,17:30 ,Dukla Prague,Sigma Olomouc,2,0,Stadion Juliska,Pavel Královec
2016-05-06,Fri,18:00 ,Zbrojovka Brno,Vysočina Jihlava,1,1,Městský fotbalový stadion Srbská,Zbyněk Proske
2016-05-07,Sat,13:30 ,Mladá Boleslav,Viktoria Plzeň,2,0,Adidas Aréna,Radek Příhoda
2016-05-07,Sat,15:30 ,Baník Ostrava,Bohemians 1905,1,2,Bazaly,Michal Paták
2016-05-07,Sat,15:45 ,Sparta Prague,Slovan Liberec,3,0,Generali Arena,Karel Hrubes
2016-05-07,Sat,16:00 ,Fastav Zlín,Příbram,0,0,Stadion Letná,Pavel Franek
2016-05-08,Sun,15:30 ,Slavia Prague,Slovácko,5,1,Sinobo Stadium,Martin Nenadál
2016-05-08,Sun,16:00 ,Jablonec,Teplice,1,0,Stadion Střelnice,Martin Nenadál
2016-05-11,Wed,18:15 ,Teplice,Dukla Prague,1,1,Na Stínadlech,Paval Julínek
2016-05-11,Wed,18:15 ,Viktoria Plzeň,Jablonec,1,2,Doosan Arena,Pavel Franek
2016-05-11,Wed,18:15 ,Slovan Liberec,Fastav Zlín,4,3,Stadion u Nisy,Radek Příhoda
2016-05-11,Wed,18:15 ,Slovácko,Sigma Olomouc,2,1,Městský fotbalový stadion Miroslava Vale...,Miroslav Zelinka
2016-05-11,Wed,18:15 ,Zbrojovka Brno,Sparta Prague,1,0,Městský fotbalový stadion Srbská,Michal Paták
2016-05-11,Wed,18:15 ,Příbram,Slavia Prague,1,3,Energon Aréna,Emanuel Marek
2016-05-11,Wed,18:15 ,Vysočina Jihlava,Baník Ostrava,3,0,Stadion v Jiráskově ulici,Jan Jilek
2016-05-11,Wed,18:15 ,Bohemians 1905,Mladá Boleslav,2,0,Stadion Ďolíček,Pavel Královec
2016-05-14,Sat,15:30 ,Slavia Prague,Viktoria Plzeň,5,0,Sinobo Stadium,Paval Julínek
2016-05-14,Sat,15:30 ,Mladá Boleslav,Slovan Liberec,2,2,Adidas Aréna,Miroslav Zelinka
2016-05-14,Sat,15:30 ,Sigma Olomouc,Teplice,6,0,Andrův stadion,Zbyněk Proske
2016-05-14,Sat,15:30 ,Dukla Prague,Slovácko,0,1,Stadion Juliska,J. Machálek
2016-05-14,Sat,15:30 ,Sparta Prague,Vysočina Jihlava,5,0,Generali Arena,Ondřej Berka
2016-05-14,Sat,15:30 ,Baník Ostrava,Zbrojovka Brno,1,2,Bazaly,Pavel Královec
2016-05-14,Sat,15:30 ,Jablonec,Příbram,0,0,Stadion Střelnice,Jan Jilek
2016-05-14,Sat,15:30 ,Fastav Zlín,Bohemians 1905,1,1,Stadion Letná,Jan Váňa
2016-07-30,Sat,15:00 ,Vysočina Jihlava,Viktoria Plzeň,1,2,Stadion v Jiráskově ulici,Zbyněk Proske
2016-07-30,Sat,17:00 ,Jablonec,Karviná,5,3,Stadion Střelnice,Pavel Orel
2016-07-30,Sat,17:00 ,Fastav Zlín,Příbram,2,0,Stadion Letná,Radek Příhoda
2016-07-30,Sat,20:15 ,Sparta Prague,Slovácko,3,2,Generali Arena,Miroslav Zelinka
2016-07-31,Sun,16:30 ,Mladá Boleslav,Slovan Liberec,3,0,Adidas Aréna,Petr Ardeleánu
2016-07-31,Sun,17:00 ,Bohemians 1905,Hradec Králové,0,3,Stadion Ďolíček,Pavel Franek
2016-08-06,Sat,17:00 ,Karviná,Zbrojovka Brno,1,1,Městský stadion,Radek Příhoda
2016-08-06,Sat,17:00 ,Hradec Králové,Jablonec,1,2,Adidas Aréna,Miroslav Zelinka
2016-08-06,Sat,17:00 ,Slovácko,Dukla Prague,2,2,Městský fotbalový stadion Miroslava Vale...,Pavel Královec
2016-08-07,Sun,14:30 ,Viktoria Plzeň,Bohemians 1905,1,1,Doosan Arena,Pavel Orel
2016-08-07,Sun,17:00 ,Příbram,Mladá Boleslav,0,1,Energon Aréna,Martin Nenadál
2016-08-07,Sun,17:00 ,Slovan Liberec,Vysočina Jihlava,1,1,Stadion u Nisy,J. Machálek
2016-08-08,Mon,18:00 ,Slavia Prague,Fastav Zlín,2,2,Sinobo Stadium,Jiří Houdek
2016-08-12,Fri,18:00 ,Příbram,Viktoria Plzeň,0,3,Energon Aréna,Karel Hrubes
2016-08-13,Sat,17:00 ,Fastav Zlín,Slovan Liberec,2,1,Stadion Letná,Miroslav Zelinka
2016-08-13,Sat,17:00 ,Mladá Boleslav,Karviná,1,2,Adidas Aréna,Jiří Houdek
2016-08-13,Sat,17:00 ,Jablonec,Slovácko,2,2,Stadion Střelnice,Radek Příhoda
2016-08-13,Sat,17:15 ,Zbrojovka Brno,Teplice,0,0,Městský fotbalový stadion Srbská,Pavel Franek
2016-08-13,Sat,20:00 ,Bohemians 1905,Sparta Prague,0,2,Stadion Ďolíček,Martin Nenadál
2016-08-14,Sun,17:00 ,Dukla Prague,Hradec Králové,3,0,Stadion Juliska,Paval Julínek
2016-08-14,Sun,19:30 ,Vysočina Jihlava,Slavia Prague,1,1,Stadion v Jiráskově ulici,Jan Jilek
2016-08-20,Sat,16:00 ,Slovácko,Bohemians 1905,2,0,Městský fotbalový stadion Miroslava Vale...,Paval Julínek
2016-08-20,Sat,16:00 ,Hradec Králové,Vysočina Jihlava,1,0,Adidas Aréna,Pavel Královec
2016-08-20,Sat,16:00 ,Karviná,Dukla Prague,2,1,Městský stadion,Miroslav Zelinka
2016-08-20,Sat,18:30 ,Viktoria Plzeň,Fastav Zlín,0,2,Doosan Arena,Martin Nenadál
2016-08-21,Sun,15:00 ,Slavia Prague,Příbram,3,0,Sinobo Stadium,Zbyněk Proske
2016-08-21,Sun,17:00 ,Slovan Liberec,Zbrojovka Brno,0,0,Stadion u Nisy,Zbyněk Proske
2016-08-21,Sun,19:30 ,Sparta Prague,Jablonec,3,0,Generali Arena,Petr Ardeleánu
2016-08-26,Fri,18:00 ,Mladá Boleslav,Hradec Králové,2,0,Adidas Aréna,J. Machálek
2016-08-26,Fri,18:00 ,Vysočina Jihlava,Teplice,0,2,Stadion v Jiráskově ulici,Martin Nenadál
2016-08-26,Fri,20:15 ,Bohemians 1905,Jablonec,2,0,Stadion Ďolíček,Pavel Královec
2016-08-27,Sat,18:00 ,Zbrojovka Brno,Slovácko,1,0,Městský fotbalový stadion Srbská,Karel Hrubes
2016-08-28,Sun,17:00 ,Příbram,Slovan Liberec,0,1,Energon Aréna,Pavel Franek
2016-08-28,Sun,17:00 ,Dukla Prague,Sparta Prague,0,2,Stadion Juliska,Zbyněk Proske
2016-08-28,Sun,19:30 ,Viktoria Plzeň,Slavia Prague,3,1,Doosan Arena,Petr Ardeleánu
2016-08-29,Mon,18:00 ,Fastav Zlín,Karviná,3,0,Stadion Letná,Paval Julínek
2016-09-09,Fri,18:00 ,Slovácko,Fastav Zlín,1,3,Městský fotbalový stadion Miroslava Vale...,Zbyněk Proske
2016-09-10,Sat,15:00 ,Sparta Prague,Mladá Boleslav,2,2,Generali Arena,Karel Hrubes
2016-09-10,Sat,17:00 ,Karviná,Vysočina Jihlava,3,0,Městský stadion,Petr Ardeleánu
2016-09-10,Sat,17:00 ,Hradec Králové,Příbram,2,0,Adidas Aréna,Emanuel Marek
2016-09-10,Sat,20:15 ,Slovan Liberec,Viktoria Plzeň,1,2,Stadion u Nisy,Paval Julínek
2016-09-11,Sun,15:00 ,Bohemians 1905,Zbrojovka Brno,3,0,Stadion Ďolíček,Miroslav Zelinka
2016-09-11,Sun,17:00 ,Jablonec,Dukla Prague,1,1,Stadion Střelnice,Pavel Franek
2016-09-17,Sat,15:00 ,Dukla Prague,Bohemians 1905,4,1,Stadion Juliska,Radek Příhoda
2016-09-17,Sat,16:00 ,Mladá Boleslav,Slovácko,3,0,Adidas Aréna,Pavel Královec
2016-09-17,Sat,16:00 ,Zbrojovka Brno,Hradec Králové,1,1,Městský fotbalový stadion Srbská,Martin Nenadál
2016-09-17,Sat,19:15 ,Vysočina Jihlava,Jablonec,1,1,Stadion v Jiráskově ulici,Paval Julínek
2016-09-18,Sun,18:00 ,Viktoria Plzeň,Karviná,2,0,Doosan Arena,Ondřej Pechanec
2016-09-19,Mon,17:00 ,Fastav Zlín,Sparta Prague,1,1,Stadion Letná,Pavel Franek
2016-09-19,Mon,18:30 ,Slavia Prague,Slovan Liberec,1,0,Sinobo Stadium,Karel Hrubes
2016-09-23,Fri,20:15 ,Jablonec,Mladá Boleslav,1,2,Stadion Střelnice,Emanuel Marek
2016-09-24,Sat,15:00 ,Dukla Prague,Zbrojovka Brno,4,2,Stadion Juliska,J. Machálek
2016-09-24,Sat,16:30 ,Hradec Králové,Fastav Zlín,0,2,Adidas Aréna,Ondřej Berka
2016-09-24,Sat,17:00 ,Slovácko,Vysočina Jihlava,1,1,Městský fotbalový stadion Miroslava Vale...,Miroslav Zelinka
2016-09-24,Sat,18:00 ,Bohemians 1905,Příbram,1,0,Stadion Ďolíček,Petr Ardeleánu
2016-09-25,Sun,15:30 ,Sparta Prague,Slavia Prague,0,2,Generali Arena,Radek Příhoda
2016-09-30,Fri,18:00 ,Vysočina Jihlava,Bohemians 1905,0,2,Stadion v Jiráskově ulici,Karel Hrubes
