player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Jakub Janetzký,cz CZE,MF,Fastav Zlín,23-215,1997,13,5,467,2,0,0,0,1,0,0.39,0.00,0.39,0.39,0.39
Teodor Janjus,cz CZE,FW,Opava,19-283,2001,1,0,8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Adam Jánoš,cz CZE,MF,Baník Ostrava,28-177,1992,12,12,"1,039",1,0,0,0,1,0,0.09,0.00,0.09,0.09,0.09
Dominik Janošek,cz CZE,MF,Mladá Boleslav,22-214,1998,9,8,582,0,1,0,0,1,0,0.00,0.15,0.15,0.00,0.15
Lukáš Jánošík,sk SVK,MF,České Budĕjov.,26-314,1994,7,1,143,2,0,0,0,1,0,1.26,0.00,1.26,1.26,1.26
Petr Javorek,cz CZE,MF,České Budĕjov.,34-339,1986,13,13,"1,057",2,3,0,0,3,0,0.17,0.26,0.43,0.17,0.43
Lamin Jawo,gm GAM,FW,Fastav Zlín,25-304,1995,10,8,716,1,4,0,0,3,1,0.13,0.50,0.63,0.13,0.63
Jean,br BRA,MF,Karviná,23-309,1997,11,8,700,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Václav Jemelka,cz CZE,DF,Sigma Olomouc,25-204,1995,6,6,540,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Jan Jeřábek,cz CZE,MF,FK Pardubice,36-336,1984,12,12,"1,043",0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Michal Jeřábek,cz CZE,DF,Jablonec,27-125,1993,2,0,71,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Josef Jindřišek,cz CZE,DF,Bohemians 1905,39-334,1981,10,9,813,1,0,1,1,1,0,0.11,0.00,0.11,0.00,0.00
Petr Jiráček,cz CZE,MF,Fastav Zlín,34-317,1986,11,11,968,1,0,0,0,1,0,0.09,0.00,0.09,0.09,0.09
Milan Jirásek,cz CZE,MF,Baník Ostrava,28-244,1992,6,2,173,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Vladimir Jovović,me MNE,"FW,MF",Jablonec,26-079,1994,10,0,190,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jakub Jugas,cz CZE,DF,Slovan Liberec,28-253,1992,6,5,481,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Robert Jukl,cz CZE,FW,Teplice,22-077,1998,7,7,627,0,1,0,0,2,0,0.00,0.14,0.14,0.00,0.14
Lukáš Juliš,cz CZE,FW,Sparta Prague,26-042,1994,13,13,"1,069",10,1,0,0,2,0,0.84,0.08,0.93,0.84,0.93
Matěj Jurásek,cz CZE,FW,Slavia Prague,17-136,2003,2,1,73,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Václav Jurečka,cz CZE,FW,Slovácko,26-201,1994,7,2,253,2,0,0,0,0,0,0.71,0.00,0.71,0.71,0.71
Václav Juřena,cz CZE,FW,Opava,29-346,1991,12,7,664,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Jan Juroška,cz CZE,DF,Baník Ostrava,27-317,1993,2,2,129,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Tomas Jursa,cz CZE,MF,Karviná,31-310,1989,4,0,56,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Miroslav Káčer,sk SVK,MF,Viktoria Plzeň,24-346,1996,14,3,373,0,2,0,0,4,0,0.00,0.48,0.48,0.00,0.48
Taras Kacharaba,ua UKR,DF,Slovan Liberec,26-006,1995,10,10,864,2,0,0,0,4,1,0.21,0.00,0.21,0.21,0.21
Michal Kadlec,cz CZE,DF,Slovácko,36-031,1984,12,12,"1,073",0,1,0,0,2,1,0.00,0.08,0.08,0.00,0.08
