Game Week,Weekday,Date,Time,Home Team,Score,Away Team,Attendance,Venue,Referee,Match Report,Notes
24,Sat,2016-04-09,20:15 ,Fastav Zlín,1–2,Viktoria Plzeň,"4,162",Stadion Letná,Michal Paták,Match Report,
24,Sun,2016-04-10,19:30 ,Sparta Prague,2–1,Příbram,"7,204",Generali Arena,Zbyněk Proske,Match Report,
,,,,,,,,,,,
25,Fri,2016-04-15,18:00 ,Dukla Prague,6–1,Jablonec,"1,067",Stadion Juliska,Pavel Franek,Match Report,
25,Sat,2016-04-16,17:00 ,Příbram,1–2,Baník Ostrava,"1,986",Energon Aréna,Petr Ardeleánu,Match Report,
25,Sat,2016-04-16,17:00 ,Sigma Olomouc,1–1,Slavia Prague,"5,459",Andrův stadion,Ondřej Pechanec,Match Report,
25,Sat,2016-04-16,17:00 ,Teplice,2–2,Fastav Zlín,"2,688",Na Stínadlech,Miroslav Zelinka,Match Report,
25,Sat,2016-04-16,17:00 ,Slovácko,0–2,Mladá Boleslav,"4,105",Městský fotbalový stadion Miroslava Vale...,Jiří Houdek,Match Report,
25,Sat,2016-04-16,20:15 ,Slovan Liberec,2–0,Vysočina Jihlava,"3,236",Stadion u Nisy,Jan Jilek,Match Report,
25,Sun,2016-04-17,16:45 ,Viktoria Plzeň,2–1,Zbrojovka Brno,"10,850",Doosan Arena,Karel Hrubes,Match Report,
25,Sun,2016-04-17,18:45 ,Bohemians 1905,2–2,Sparta Prague,"5,000",Stadion Ďolíček,Radek Příhoda,Match Report,
,,,,,,,,,,,
19,Wed,2016-04-20,19:30 ,Dukla Prague,1–2,Sparta Prague,"5,762",Stadion Juliska,Tomas Kocourek,Match Report,
,,,,,,,,,,,
26,Fri,2016-04-22,20:15 ,Mladá Boleslav,4–1,Sigma Olomouc,"1,987",Adidas Aréna,Martin Nenadál,Match Report,
26,Sat,2016-04-23,17:00 ,Vysočina Jihlava,1–2,Bohemians 1905,"3,048",Stadion v Jiráskově ulici,Karel Hrubes,Match Report,
26,Sat,2016-04-23,17:00 ,Jablonec,3–1,Slovácko,"2,031",Stadion Střelnice,Pavel Královec,Match Report,
26,Sat,2016-04-23,17:00 ,Baník Ostrava,0–2,Slovan Liberec,"6,759",Bazaly,Pavel Franek,Match Report,
26,Sat,2016-04-23,20:15 ,Slavia Prague,2–2,Teplice,"6,157",Sinobo Stadium,Jiří Houdek,Match Report,
26,Sun,2016-04-24,17:00 ,Fastav Zlín,2–2,Dukla Prague,"2,726",Stadion Letná,Jan Jilek,Match Report,
26,Sun,2016-04-24,17:00 ,Zbrojovka Brno,2–0,Příbram,"4,116",Městský fotbalový stadion Srbská,Jiri Jech,Match Report,
26,Sun,2016-04-24,20:00 ,Sparta Prague,0–3,Viktoria Plzeň,"18,371",Generali Arena,Miroslav Zelinka,Match Report,
,,,,,,,,,,,
27,Fri,2016-04-29,18:00 ,Vysočina Jihlava,1–1,Mladá Boleslav,"4,672",Stadion v Jiráskově ulici,Petr Ardeleánu,Match Report,
27,Sat,2016-04-30,15:00 ,Sigma Olomouc,2–1,Jablonec,"3,621",Andrův stadion,Michal Paták,Match Report,
27,Sat,2016-04-30,15:00 ,Slovan Liberec,4–2,Zbrojovka Brno,"3,666",Stadion u Nisy,Ondřej Berka,Match Report,
27,Sat,2016-04-30,15:00 ,Slovácko,1–1,Fastav Zlín,"5,905",Městský fotbalový stadion Miroslava Vale...,Zbyněk Proske,Match Report,
27,Sat,2016-04-30,15:00 ,Příbram,2–2,Dukla Prague,"2,016",Energon Aréna,Miroslav Zelinka,Match Report,
27,Sat,2016-04-30,18:15 ,Viktoria Plzeň,2–0,Baník Ostrava,"11,512",Doosan Arena,Emanuel Marek,Match Report,
27,Sun,2016-05-01,17:00 ,Teplice,1–1,Sparta Prague,"10,732",Na Stínadlech,Jan Jilek,Match Report,
27,Sun,2016-05-01,19:00 ,Bohemians 1905,0–0,Slavia Prague,"5,000",Stadion Ďolíček,Jiri Jech,Match Report,
,,,,,,,,,,,
28,Fri,2016-05-06,17:30 ,Dukla Prague,2–0,Sigma Olomouc,"1,228",Stadion Juliska,Pavel Královec,Match Report,
28,Fri,2016-05-06,18:00 ,Zbrojovka Brno,1–1,Vysočina Jihlava,"4,063",Městský fotbalový stadion Srbská,Zbyněk Proske,Match Report,
28,Sat,2016-05-07,13:30 ,Mladá Boleslav,2–0,Viktoria Plzeň,"3,751",Adidas Aréna,Radek Příhoda,Match Report,
28,Sat,2016-05-07,15:30 ,Baník Ostrava,1–2,Bohemians 1905,"4,580",Bazaly,Michal Paták,Match Report,
28,Sat,2016-05-07,15:45 ,Sparta Prague,3–0,Slovan Liberec,"8,817",Generali Arena,Karel Hrubes,Match Report,
28,Sat,2016-05-07,16:00 ,Fastav Zlín,0–0,Příbram,"3,261",Stadion Letná,Pavel Franek,Match Report,
28,Sun,2016-05-08,15:30 ,Slavia Prague,5–1,Slovácko,"6,011",Sinobo Stadium,Martin Nenadál,Match Report,
28,Sun,2016-05-08,16:00 ,Jablonec,1–0,Teplice,"2,890",Stadion Střelnice,Martin Nenadál,Match Report,
,,,,,,,,,,,
29,Wed,2016-05-11,18:15 ,Teplice,1–1,Dukla Prague,"2,421",Na Stínadlech,Paval Julínek,Match Report,
29,Wed,2016-05-11,18:15 ,Viktoria Plzeň,1–2,Jablonec,"10,832",Doosan Arena,Pavel Franek,Match Report,
29,Wed,2016-05-11,18:15 ,Slovan Liberec,4–3,Fastav Zlín,"4,669",Stadion u Nisy,Radek Příhoda,Match Report,
29,Wed,2016-05-11,18:15 ,Slovácko,2–1,Sigma Olomouc,"4,142",Městský fotbalový stadion Miroslava Vale...,Miroslav Zelinka,Match Report,
29,Wed,2016-05-11,18:15 ,Zbrojovka Brno,1–0,Sparta Prague,"10,200",Městský fotbalový stadion Srbská,Michal Paták,Match Report,
29,Wed,2016-05-11,18:15 ,Příbram,1–3,Slavia Prague,"4,702",Energon Aréna,Emanuel Marek,Match Report,
29,Wed,2016-05-11,18:15 ,Vysočina Jihlava,3–0,Baník Ostrava,"3,143",Stadion v Jiráskově ulici,Jan Jilek,Match Report,
29,Wed,2016-05-11,18:15 ,Bohemians 1905,2–0,Mladá Boleslav,"4,702",Stadion Ďolíček,Pavel Královec,Match Report,
,,,,,,,,,,,
30,Sat,2016-05-14,15:30 ,Slavia Prague,5–0,Viktoria Plzeň,"10,121",Sinobo Stadium,Paval Julínek,Match Report,
30,Sat,2016-05-14,15:30 ,Mladá Boleslav,2–2,Slovan Liberec,"4,151",Adidas Aréna,Miroslav Zelinka,Match Report,
30,Sat,2016-05-14,15:30 ,Sigma Olomouc,6–0,Teplice,"4,963",Andrův stadion,Zbyněk Proske,Match Report,
30,Sat,2016-05-14,15:30 ,Dukla Prague,0–1,Slovácko,831,Stadion Juliska,J. Machálek,Match Report,
30,Sat,2016-05-14,15:30 ,Sparta Prague,5–0,Vysočina Jihlava,"7,111",Generali Arena,Ondřej Berka,Match Report,
30,Sat,2016-05-14,15:30 ,Baník Ostrava,1–2,Zbrojovka Brno,"4,779",Bazaly,Pavel Královec,Match Report,
30,Sat,2016-05-14,15:30 ,Jablonec,0–0,Příbram,"2,044",Stadion Střelnice,Jan Jilek,Match Report,
30,Sat,2016-05-14,15:30 ,Fastav Zlín,1–1,Bohemians 1905,"3,484",Stadion Letná,Jan Váňa,Match Report,
1,Sat,2016-07-30,15:00 ,Vysočina Jihlava,1–2,Viktoria Plzeň,"4,049",Stadion v Jiráskově ulici,Zbyněk Proske,Match Report,
1,Sat,2016-07-30,17:00 ,Jablonec,5–3,Karviná,"2,570",Stadion Střelnice,Pavel Orel,Match Report,
1,Sat,2016-07-30,17:00 ,Fastav Zlín,2–0,Příbram,"2,336",Stadion Letná,Radek Příhoda,Match Report,
1,Sat,2016-07-30,20:15 ,Sparta Prague,3–2,Slovácko,"7,181",Generali Arena,Miroslav Zelinka,Match Report,
1,Sun,2016-07-31,16:30 ,Mladá Boleslav,3–0,Slovan Liberec,"4,177",Adidas Aréna,Petr Ardeleánu,Match Report,
1,Sun,2016-07-31,17:00 ,Bohemians 1905,0–3,Hradec Králové,"4,832",Stadion Ďolíček,Pavel Franek,Match Report,
,,,,,,,,,,,
2,Sat,2016-08-06,17:00 ,Karviná,1–1,Zbrojovka Brno,"4,522",Městský stadion,Radek Příhoda,Match Report,
2,Sat,2016-08-06,17:00 ,Hradec Králové,1–2,Jablonec,"1,826",Adidas Aréna,Miroslav Zelinka,Match Report,
2,Sat,2016-08-06,17:00 ,Slovácko,2–2,Dukla Prague,"3,652",Městský fotbalový stadion Miroslava Vale...,Pavel Královec,Match Report,
2,Sun,2016-08-07,14:30 ,Viktoria Plzeň,1–1,Bohemians 1905,"10,890",Doosan Arena,Pavel Orel,Match Report,
2,Sun,2016-08-07,17:00 ,Příbram,0–1,Mladá Boleslav,"2,428",Energon Aréna,Martin Nenadál,Match Report,
2,Sun,2016-08-07,17:00 ,Slovan Liberec,1–1,Vysočina Jihlava,"4,938",Stadion u Nisy,J. Machálek,Match Report,
2,Mon,2016-08-08,18:00 ,Slavia Prague,2–2,Fastav Zlín,"7,702",Sinobo Stadium,Jiří Houdek,Match Report,
,,,,,,,,,,,
3,Fri,2016-08-12,18:00 ,Příbram,0–3,Viktoria Plzeň,"3,381",Energon Aréna,Karel Hrubes,Match Report,
3,Sat,2016-08-13,17:00 ,Fastav Zlín,2–1,Slovan Liberec,"6,089",Stadion Letná,Miroslav Zelinka,Match Report,
3,Sat,2016-08-13,17:00 ,Mladá Boleslav,1–2,Karviná,"3,677",Adidas Aréna,Jiří Houdek,Match Report,
3,Sat,2016-08-13,17:00 ,Jablonec,2–2,Slovácko,"2,386",Stadion Střelnice,Radek Příhoda,Match Report,
3,Sat,2016-08-13,17:15 ,Zbrojovka Brno,0–0,Teplice,"4,228",Městský fotbalový stadion Srbská,Pavel Franek,Match Report,
3,Sat,2016-08-13,20:00 ,Bohemians 1905,0–2,Sparta Prague,"5,000",Stadion Ďolíček,Martin Nenadál,Match Report,
3,Sun,2016-08-14,17:00 ,Dukla Prague,3–0,Hradec Králové,"1,415",Stadion Juliska,Paval Julínek,Match Report,
3,Sun,2016-08-14,19:30 ,Vysočina Jihlava,1–1,Slavia Prague,"4,500",Stadion v Jiráskově ulici,Jan Jilek,Match Report,
,,,,,,,,,,,
4,Sat,2016-08-20,16:00 ,Slovácko,2–0,Bohemians 1905,"3,539",Městský fotbalový stadion Miroslava Vale...,Paval Julínek,Match Report,
4,Sat,2016-08-20,16:00 ,Hradec Králové,1–0,Vysočina Jihlava,"1,146",Adidas Aréna,Pavel Královec,Match Report,
4,Sat,2016-08-20,16:00 ,Karviná,2–1,Dukla Prague,"4,126",Městský stadion,Miroslav Zelinka,Match Report,
4,Sat,2016-08-20,18:30 ,Viktoria Plzeň,0–2,Fastav Zlín,"9,327",Doosan Arena,Martin Nenadál,Match Report,
4,Sun,2016-08-21,15:00 ,Slavia Prague,3–0,Příbram,"5,043",Sinobo Stadium,Zbyněk Proske,Match Report,
4,Sun,2016-08-21,17:00 ,Slovan Liberec,0–0,Zbrojovka Brno,"4,054",Stadion u Nisy,Zbyněk Proske,Match Report,
4,Sun,2016-08-21,19:30 ,Sparta Prague,3–0,Jablonec,"8,336",Generali Arena,Petr Ardeleánu,Match Report,
,,,,,,,,,,,
5,Fri,2016-08-26,18:00 ,Mladá Boleslav,2–0,Hradec Králové,"3,271",Adidas Aréna,J. Machálek,Match Report,
5,Fri,2016-08-26,18:00 ,Vysočina Jihlava,0–2,Teplice,"2,843",Stadion v Jiráskově ulici,Martin Nenadál,Match Report,
5,Fri,2016-08-26,20:15 ,Bohemians 1905,2–0,Jablonec,"3,504",Stadion Ďolíček,Pavel Královec,Match Report,
5,Sat,2016-08-27,18:00 ,Zbrojovka Brno,1–0,Slovácko,"4,322",Městský fotbalový stadion Srbská,Karel Hrubes,Match Report,
5,Sun,2016-08-28,17:00 ,Příbram,0–1,Slovan Liberec,"2,182",Energon Aréna,Pavel Franek,Match Report,
5,Sun,2016-08-28,17:00 ,Dukla Prague,0–2,Sparta Prague,"6,243",Stadion Juliska,Zbyněk Proske,Match Report,
5,Sun,2016-08-28,19:30 ,Viktoria Plzeň,3–1,Slavia Prague,"11,317",Doosan Arena,Petr Ardeleánu,Match Report,
5,Mon,2016-08-29,18:00 ,Fastav Zlín,3–0,Karviná,"5,223",Stadion Letná,Paval Julínek,Match Report,
,,,,,,,,,,,
6,Fri,2016-09-09,18:00 ,Slovácko,1–3,Fastav Zlín,"5,903",Městský fotbalový stadion Miroslava Vale...,Zbyněk Proske,Match Report,
6,Sat,2016-09-10,15:00 ,Sparta Prague,2–2,Mladá Boleslav,"14,091",Generali Arena,Karel Hrubes,Match Report,
6,Sat,2016-09-10,17:00 ,Karviná,3–0,Vysočina Jihlava,"3,518",Městský stadion,Petr Ardeleánu,Match Report,
6,Sat,2016-09-10,17:00 ,Hradec Králové,2–0,Příbram,"1,216",Adidas Aréna,Emanuel Marek,Match Report,
6,Sat,2016-09-10,20:15 ,Slovan Liberec,1–2,Viktoria Plzeň,"5,652",Stadion u Nisy,Paval Julínek,Match Report,
6,Sun,2016-09-11,15:00 ,Bohemians 1905,3–0,Zbrojovka Brno,"4,329",Stadion Ďolíček,Miroslav Zelinka,Match Report,
6,Sun,2016-09-11,17:00 ,Jablonec,1–1,Dukla Prague,"2,048",Stadion Střelnice,Pavel Franek,Match Report,
,,,,,,,,,,,
7,Sat,2016-09-17,15:00 ,Dukla Prague,4–1,Bohemians 1905,"3,147",Stadion Juliska,Radek Příhoda,Match Report,
7,Sat,2016-09-17,16:00 ,Mladá Boleslav,3–0,Slovácko,"2,877",Adidas Aréna,Pavel Královec,Match Report,
7,Sat,2016-09-17,16:00 ,Zbrojovka Brno,1–1,Hradec Králové,"3,821",Městský fotbalový stadion Srbská,Martin Nenadál,Match Report,
7,Sat,2016-09-17,19:15 ,Vysočina Jihlava,1–1,Jablonec,"2,338",Stadion v Jiráskově ulici,Paval Julínek,Match Report,
7,Sun,2016-09-18,18:00 ,Viktoria Plzeň,2–0,Karviná,"9,561",Doosan Arena,Ondřej Pechanec,Match Report,
7,Mon,2016-09-19,17:00 ,Fastav Zlín,1–1,Sparta Prague,"5,981",Stadion Letná,Pavel Franek,Match Report,
7,Mon,2016-09-19,18:30 ,Slavia Prague,1–0,Slovan Liberec,"6,882",Sinobo Stadium,Karel Hrubes,Match Report,
,,,,,,,,,,,
8,Fri,2016-09-23,20:15 ,Jablonec,1–2,Mladá Boleslav,"1,741",Stadion Střelnice,Emanuel Marek,Match Report,
8,Sat,2016-09-24,15:00 ,Dukla Prague,4–2,Zbrojovka Brno,"1,432",Stadion Juliska,J. Machálek,Match Report,
8,Sat,2016-09-24,16:30 ,Hradec Králové,0–2,Fastav Zlín,"1,420",Adidas Aréna,Ondřej Berka,Match Report,
8,Sat,2016-09-24,17:00 ,Slovácko,1–1,Vysočina Jihlava,"3,517",Městský fotbalový stadion Miroslava Vale...,Miroslav Zelinka,Match Report,
8,Sat,2016-09-24,18:00 ,Bohemians 1905,1–0,Příbram,"3,821",Stadion Ďolíček,Petr Ardeleánu,Match Report,
8,Sun,2016-09-25,15:30 ,Sparta Prague,0–2,Slavia Prague,"18,397",Generali Arena,Radek Příhoda,Match Report,
,,,,,,,,,,,
9,Fri,2016-09-30,18:00 ,Vysočina Jihlava,0–2,Bohemians 1905,"3,105",Stadion v Jiráskově ulici,Karel Hrubes,Match Report,
9,Sat,2016-10-01,15:30 ,Mladá Boleslav,1–0,Dukla Prague,"3,789",Adidas Aréna,Paval Julínek,Match Report,
9,Sat,2016-10-01,17:00 ,Příbram,0–1,Slovácko,"1,826",Energon Aréna,Jiří Houdek,Match Report,
9,Sat,2016-10-01,17:00 ,Fastav Zlín,2–2,Jablonec,"4,723",Stadion Letná,Jan Jilek,Match Report,
9,Sat,2016-10-01,20:05 ,Slavia Prague,1–0,Karviná,"6,513",Sinobo Stadium,J. Machálek,Match Report,
9,Sun,2016-10-02,14:30 ,Zbrojovka Brno,3–3,Sparta Prague,"9,223",Městský fotbalový stadion Srbská,Pavel Královec,Match Report,
9,Sun,2016-10-02,20:00 ,Viktoria Plzeň,4–1,Hradec Králové,"9,393",Doosan Arena,Zbyněk Proske,Match Report,
,,,,,,,,,,,
10,Fri,2016-10-14,20:15 ,Bohemians 1905,1–3,Mladá Boleslav,"4,103",Stadion Ďolíček,Zbyněk Proske,Match Report,
10,Sat,2016-10-15,15:00 ,Hradec Králové,0–3,Slavia Prague,"4,500",Všesportovní stadion,Paval Julínek,Match Report,
10,Sat,2016-10-15,15:00 ,Karviná,2–0,Příbram,"3,829",Městský stadion,Karel Hrubes,Match Report,
10,Sat,2016-10-15,17:00 ,Jablonec,1–2,Zbrojovka Brno,"1,546",Stadion Střelnice,Petr Ardeleánu,Match Report,
10,Sat,2016-10-15,17:00 ,Dukla Prague,0–0,Slovan Liberec,"1,631",Stadion Juliska,Miroslav Zelinka,Match Report,
10,Sat,2016-10-15,20:15 ,Slovácko,1–1,Viktoria Plzeň,"4,335",Městský fotbalový stadion Miroslava Vale...,J. Machálek,Match Report,
10,Sun,2016-10-16,15:00 ,Sparta Prague,3–0,Vysočina Jihlava,"8,447",Generali Arena,Ondřej Pechanec,Match Report,
,,,,,,,,,,,
1,Wed,2016-10-19,18:00 ,Zbrojovka Brno,1–4,Slavia Prague,"8,818",Městský fotbalový stadion Srbská,Pavel Královec,Match Report,
,,,,,,,,,,,
11,Fri,2016-10-21,18:00 ,Vysočina Jihlava,1–1,Dukla Prague,"2,903",Stadion v Jiráskově ulici,Ondřej Berka,Match Report,
11,Fri,2016-10-21,20:15 ,Fastav Zlín,1–1,Bohemians 1905,"3,248",Stadion Letná,Martin Nenadál,Match Report,
11,Sat,2016-10-22,15:00 ,Příbram,2–4,Jablonec,"1,758",Energon Aréna,Pavel Královec,Match Report,
11,Sat,2016-10-22,17:00 ,Mladá Boleslav,3–3,Zbrojovka Brno,"2,931",Adidas Aréna,Jan Jilek,Match Report,
11,Sat,2016-10-22,20:05 ,Slavia Prague,1–0,Slovácko,"7,108",Sinobo Stadium,Petr Ardeleánu,Match Report,
11,Sun,2016-10-23,14:00 ,Slovan Liberec,2–0,Hradec Králové,"3,652",Stadion u Nisy,Radek Příhoda,Match Report,
11,Sun,2016-10-23,18:00 ,Viktoria Plzeň,1–0,Sparta Prague,"11,651",Doosan Arena,Karel Hrubes,Match Report,
,,,,,,,,,,,
8,Wed,2016-10-26,17:00 ,Karviná,0–0,Slovan Liberec,"3,220",Městský stadion,Jan Jilek,Match Report,
,,,,,,,,,,,
12,Sat,2016-10-29,15:00 ,Sparta Prague,4–0,Příbram,"7,109",Generali Arena,Martin Nenadál,Match Report,
12,Sat,2016-10-29,17:00 ,Zbrojovka Brno,1–1,Vysočina Jihlava,"3,526",Městský fotbalový stadion Srbská,Radek Příhoda,Match Report,
12,Sat,2016-10-29,20:15 ,Mladá Boleslav,1–2,Fastav Zlín,"2,410",Adidas Aréna,Pavel Královec,Match Report,
12,Sun,2016-10-30,14:30 ,Hradec Králové,3–4,Karviná,"2,336",Všesportovní stadion,Pavel Franek,Match Report,
12,Sun,2016-10-30,15:00 ,Jablonec,0–0,Slavia Prague,"4,255",Stadion Střelnice,Zbyněk Proske,Match Report,
12,Sun,2016-10-30,15:30 ,Bohemians 1905,2–1,Slovan Liberec,"4,312",Stadion Ďolíček,Jiří Houdek,Match Report,
12,Sun,2016-10-30,18:30 ,Dukla Prague,0–1,Viktoria Plzeň,"2,782",Stadion Juliska,Jan Jilek,Match Report,
,,,,,,,,,,,
13,Fri,2016-11-04,18:00 ,Vysočina Jihlava,2–1,Mladá Boleslav,"2,594",Stadion v Jiráskově ulici,J. Machálek,Match Report,
13,Sat,2016-11-05,15:00 ,Fastav Zlín,2–1,Zbrojovka Brno,"4,621",Stadion Letná,Jiří Houdek,Match Report,
13,Sat,2016-11-05,17:00 ,Teplice,0–1,Hradec Králové,"2,570",Na Stínadlech,Karel Hrubes,Match Report,
13,Sat,2016-11-05,17:00 ,Příbram,3–1,Dukla Prague,"1,286",Energon Aréna,Pavel Orel,Match Report,
13,Sat,2016-11-05,20:05 ,Slavia Prague,1–1,Bohemians 1905,"11,753",Sinobo Stadium,Jan Jilek,Match Report,
13,Sun,2016-11-06,15:00 ,Slovan Liberec,0–0,Sparta Prague,"6,668",Stadion u Nisy,Pavel Franek,Match Report,
13,Sun,2016-11-06,17:00 ,Karviná,0–1,Slovácko,"2,912",Městský stadion,Ondřej Berka,Match Report,
13,Sun,2016-11-06,19:15 ,Viktoria Plzeň,3–1,Jablonec,"8,879",Doosan Arena,Miroslav Zelinka,Match Report,
,,,,,,,,,,,
14,Fri,2016-11-18,18:00 ,Vysočina Jihlava,1–3,Fastav Zlín,"2,633",Stadion v Jiráskově ulici,Petr Ardeleánu,Match Report,
14,Fri,2016-11-18,20:15 ,Dukla Prague,1–2,Slavia Prague,"5,273",Stadion Juliska,Pavel Královec,Match Report,
14,Sat,2016-11-19,15:00 ,Slovácko,1–3,Hradec Králové,"4,217",Městský fotbalový stadion Miroslava Vale...,Jan Jilek,Match Report,
14,Sat,2016-11-19,15:00 ,Zbrojovka Brno,2–2,Příbram,"2,988",Městský fotbalový stadion Srbská,Zbyněk Proske,Match Report,
14,Sat,2016-11-19,15:00 ,Mladá Boleslav,0–0,Viktoria Plzeň,"3,951",Adidas Aréna,Pavel Orel,Match Report,
14,Sat,2016-11-19,18:15 ,Jablonec,3–0,Slovan Liberec,"3,054",Stadion Střelnice,Karel Hrubes,Match Report,
14,Sun,2016-11-20,15:00 ,Sparta Prague,3–0,Karviná,"7,238",Generali Arena,Miroslav Zelinka,Match Report,
,,,,,,,,,,,
15,Sat,2016-11-26,15:00 ,Karviná,3–0,Bohemians 1905,"3,548",Městský stadion,J. Machálek,Match Report,
15,Sat,2016-11-26,15:00 ,Fastav Zlín,0–1,Dukla Prague,"4,589",Stadion Letná,Paval Julínek,Match Report,
15,Sat,2016-11-26,15:00 ,Příbram,0–0,Vysočina Jihlava,"1,786",Energon Aréna,Jan Jilek,Match Report,
15,Sat,2016-11-26,15:00 ,Slavia Prague,2–1,Mladá Boleslav,"10,074",Sinobo Stadium,Radek Příhoda,Match Report,
15,Sun,2016-11-27,13:00 ,Hradec Králové,1–2,Sparta Prague,"4,500",Všesportovní stadion,Jiří Houdek,Match Report,
15,Sun,2016-11-27,14:00 ,Slovan Liberec,2–2,Slovácko,"2,770",Stadion u Nisy,Martin Nenadál,Match Report,
15,Sun,2016-11-27,18:30 ,Viktoria Plzeň,2–0,Zbrojovka Brno,"8,812",Doosan Arena,Ondřej Berka,Match Report,
,,,,,,,,,,,
16,Fri,2016-12-02,20:15 ,Fastav Zlín,0–4,Slavia Prague,"4,304",Stadion Letná,Karel Hrubes,Match Report,
16,Sat,2016-12-03,15:00 ,Vysočina Jihlava,1–0,Slovan Liberec,"2,033",Stadion v Jiráskově ulici,Zbyněk Proske,Match Report,
16,Sat,2016-12-03,15:00 ,Zbrojovka Brno,1–1,Karviná,"2,949",Městský fotbalový stadion Srbská,Petr Ardeleánu,Match Report,
16,Sun,2016-12-04,13:30 ,Dukla Prague,2–3,Slovácko,542,Stadion Juliska,Pavel Franek,Match Report,
16,Sun,2016-12-04,15:00 ,Mladá Boleslav,2–2,Příbram,"1,280",Adidas Aréna,Miroslav Zelinka,Match Report,
,,,,,,,,,,,
17,Sat,2017-02-18,15:30 ,Teplice,1–1,Zbrojovka Brno,"2,516",Na Stínadlech,J. Machálek,Match Report,
17,Sat,2017-02-18,15:30 ,Slovácko,0–0,Jablonec,"3,445",Městský fotbalový stadion Miroslava Vale...,Jiří Houdek,Match Report,
17,Sat,2017-02-18,16:30 ,Slavia Prague,2–0,Vysočina Jihlava,"14,116",Sinobo Stadium,Miroslav Zelinka,Match Report,
17,Sat,2017-02-18,18:45 ,Viktoria Plzeň,1–0,Příbram,"8,876",Doosan Arena,Pavel Franek,Match Report,
17,Sun,2017-02-19,14:00 ,Karviná,1–1,Mladá Boleslav,"3,112",Městský stadion,Karel Hrubes,Match Report,
17,Sun,2017-02-19,14:00 ,Hradec Králové,0–2,Dukla Prague,"2,122",Všesportovní stadion,Radek Příhoda,Match Report,
17,Sun,2017-02-19,17:30 ,Sparta Prague,1–0,Bohemians 1905,"11,392",Generali Arena,Petr Ardeleánu,Match Report,
17,Mon,2017-02-20,17:00 ,Slovan Liberec,0–0,Fastav Zlín,"1,992",Stadion u Nisy,Pavel Královec,Match Report,
,,,,,,,,,,,
18,Fri,2017-02-24,18:00 ,Vysočina Jihlava,3–1,Hradec Králové,"2,373",Stadion v Jiráskově ulici,Karel Hrubes,Match Report,
18,Sat,2017-02-25,13:30 ,Dukla Prague,0–0,Karviná,"1,613",Stadion Juliska,Emanuel Marek,Match Report,
18,Sat,2017-02-25,16:00 ,Zbrojovka Brno,1–0,Slovan Liberec,"3,818",Městský fotbalový stadion Srbská,Radek Příhoda,Match Report,
18,Sat,2017-02-25,16:30 ,Bohemians 1905,0–0,Slovácko,"4,338",Stadion Ďolíček,Pavel Orel,Match Report,
18,Sat,2017-02-25,17:00 ,Fastav Zlín,0–0,Viktoria Plzeň,"5,109",Stadion Letná,Zbyněk Proske,Match Report,
18,Sat,2017-02-25,19:15 ,Příbram,1–8,Slavia Prague,"5,962",Energon Aréna,Paval Julínek,Match Report,
18,Sun,2017-02-26,17:30 ,Jablonec,3–1,Sparta Prague,"4,062",Stadion Střelnice,Pavel Královec,Match Report,
,,,,,,,,,,,
19,Sat,2017-03-04,15:00 ,Jablonec,0–0,Bohemians 1905,"2,694",Stadion Střelnice,J. Machálek,Match Report,
19,Sat,2017-03-04,15:00 ,Slovácko,0–0,Zbrojovka Brno,"5,019",Městský fotbalový stadion Miroslava Vale...,Pavel Franek,Match Report,
19,Sat,2017-03-04,15:00 ,Teplice,1–0,Vysočina Jihlava,"3,123",Na Stínadlech,Ondřej Pechanec,Match Report,
19,Sat,2017-03-04,16:00 ,Hradec Králové,0–0,Mladá Boleslav,"7,100",Všesportovní stadion,Petr Ardeleánu,Match Report,
19,Sat,2017-03-04,18:00 ,Sparta Prague,1–0,Dukla Prague,"8,936",Generali Arena,Karel Hrubes,Match Report,
19,Sun,2017-03-05,15:00 ,Slovan Liberec,2–1,Příbram,"3,794",Stadion u Nisy,Zbyněk Proske,Match Report,
19,Sun,2017-03-05,16:00 ,Slavia Prague,1–0,Viktoria Plzeň,"19,084",Sinobo Stadium,Radek Příhoda,Match Report,
19,Sun,2017-03-05,18:00 ,Karviná,1–0,Fastav Zlín,"3,567",Městský stadion,Paval Julínek,Match Report,
,,,,,,,,,,,
20,Sat,2017-03-11,15:00 ,Příbram,1–0,Hradec Králové,"2,116",Energon Aréna,Pavel Královec,Match Report,
20,Sat,2017-03-11,15:00 ,Fastav Zlín,1–1,Slovácko,"5,211",Stadion Letná,Jan Jilek,Match Report,
20,Sat,2017-03-11,15:00 ,Vysočina Jihlava,2–4,Karviná,"2,501",Stadion v Jiráskově ulici,Pavel Franek,Match Report,
20,Sat,2017-03-11,15:00 ,Dukla Prague,1–0,Jablonec,"1,458",Stadion Juliska,Milan Matejcek,Match Report,
20,Sat,2017-03-11,15:30 ,Zbrojovka Brno,0–0,Bohemians 1905,"5,016",Městský fotbalový stadion Srbská,Ondřej Pechanec,Match Report,
20,Sat,2017-03-11,17:45 ,Viktoria Plzeň,1–0,Slovan Liberec,"9,944",Doosan Arena,J. Machálek,Match Report,
20,Sun,2017-03-12,15:30 ,Mladá Boleslav,1–0,Sparta Prague,"4,928",Adidas Aréna,Pavel Orel,Match Report,
,,,,,,,,,,,
