Player,Foot,Market Value
Ondrej Vintr,-,200
Marek Vintr,-,150
Ondrej Pachlopnik,-,450
Jakub Prichystal,right,350
Jan Hladik,-,300
Antonin Rusek,-,400
Martin Zikl,right,200
Ales Mandous,-,800
Matus Macik,right,350
Michal Reichl,right,200
Jakub Trefil,right,75
Vit Benes,right,500
Roman Hubnik,right,250
Jan Sterba,right,200
Jan Kotouc,-,75
Michal Veprek,left,150
Milan Kerbr,left,150
Martin Sladky,-,300
Juraj Chvatal,right,175
Lukas Gressak,right,200
David Houska,right,650
Radim Breite,right,450
Ondrej Zmrzly,-,350
Florent Poulolo,-,250
Tomas Zahradnicek,right,400
Martin Hala,right,350
Radek Latal,-,150
Krystof Danek,-,200
Pavel Zifcak,right,250
Jachym Sip,left,100
Pablo González,right,350
Mojmir Chytil,-,350
Martin Nespor,-,250
Jakub Yunis,right,200
Dominik Radic,right,200
Marek Bohac,right,300
Jiri Letacek,right,200
Nicolas Smid,left,150
Stepan Hrncir,-,100
Martin Toml,right,500
Martin Sejvl,right,400
Filip Cihak,right,200
Lukas Zukal,right,150
Lukas Husek,left,100
Tomas Celustka,left,350
Jiri Slama,left,200
Petr Kurka,left,75
Jan Prosek,right,300
Michal Surzyn,right,250
Tomas Kubart,right,75
Jan Jerabek,right,150
Matej Vit,-,75
Emil Tischler,right,500
Michal Hlavaty,right,500
Tomas Solil,right,500
Samuel Simek,-,75
Vojtech Sychra,right,75
Cadu,right,250
Sang-hyuk Lee,left,150
Lukas Pfeifer,right,300
Ewerton,right,250
Pieter Langedijk,left,150
David Huf,left,300
Michal Petran,right,250
Pavel Cerny,right,150
Tomas Grigar,right,200
Ludek Nemecek,-,150
Jan Ctvrtecka,-,150
Jan Plachy,-,100
Ondrej Mazuch,right,400
David Heidenreich,right,400
Jan Knapik,-,200
Ruben Droehnle,left,150
Jan Hosek,right,150
Simon Gabriel,-,50
Tomas Vondrasek,right,250
Alois Hycka,right,200
Lukas Marecek,right,300
Admir Ljevakovic,right,100
Tomas Kucera,-,500
Robert Jukl,-,300
Jan Shejbal,-,250
Matej Radosta,-,200
Daniel Trubac,-,450
Patrik Zitny,-,600
Dominik Sup,-,75
Pavel Moulis,right,300
Vukadin Vukadinovic,right,250
David Cerny,right,200
Jakub Mares,right,350
Martin Macej,-,150
Jakub Reznicek,right,500
Vladimir Neuman,right,200
Jiri Ciupa,-,100
Petr Bolek,right,100
Martin Sindelar,right,450
Soufiane Dramé,-,300
Eduardo Santos,-,300
Daniel Stropek,-,150
Lukas Bartosak,both,350
Stelios Kokovas,left,300
Oliver Putyera,-,100
Kristi Qose,right,650
Ivan Zhelizko,both,100
Marek Janecka,right,100
Christian Herc,right,350
Vojtech Smrz,-,300
Marek Hanousek,right,250
Tomas Jursa,-,150
Rajmund Mikus,-,300
Tomas Ostrak,right,750
Jean Mangabeira,-,250
Martin Vlachovsky,-,100
Lukas Cmelik,right,200
Rafael Tavares,right,250
Roman Hasa,-,200
Michal Papadopulos,right,100
Stanislav Dostal,-,300
Matej Rakovan,-,200
Jan Siska,-,75
Petr Buchta,right,400
Dominik Simersky,right,300
Lukas Vrastil,-,250
Martin Cedidla,-,250
Vaclav Prochazka,both,150
Jakub Kolar,-,150
Martin N'Gimbi,-,100
Robert Matejov,left,250
Cheick Conde,-,650
Petr Jiracek,left,500
Pedro Martínez,-,250
Marek Hlinka,left,250
Youba Dramé,-,400
Vakhtang Chanturishvili,left,400
Antonin Fantis,right,300
Jakub Janetzky,right,300
Patrik Slamena,-,200
Tomas Poznar,right,400
Lamin Jawo,right,350
Simon Chwaszcz,-,100
Martins Toutou,-,100
Vit Nemrava,-,200
Pavol Bajza,right,200
Stanislav Hofmann,-,500
Michal Kadlec,left,250
Patrik Simko,-,250
Josef Divisek,left,200
Michal Tomic,right,300
Petr Reinberk,-,300
Vlastimil Danicek,left,500
Marek Havlik,left,650
Lukas Sadilek,-,500
Daniel Marecek,-,150
Jan Navrátil,-,350
Milan Petrzela,right,250
Michal Kohut,left,250
Jan Kalabiska,left,250
Jakub Rezek,-,200
Vaclav Jurecka,-,300
Filip Kubala,right,250
Jan Kliment,right,300
Rigino Cicilia,right,250
Timur Melekestsev,right,200
Vojtech Vorel,right,250
Jaroslav Drobny,right,75
Martin Janacek,-,25
Lukas Havel,-,400
Martin Kralik,-,350
Maksym Taloverov,-,300
Pavel Novak,right,300
Lukas Skovajsa,-,350
Benjamin Colic,right,350
